OptionId,OptionValue
665,Rhys Cooyou (Inactive)
234,Rhys Magin (Inactive)
975,Rhys Mathieson (Inactive)
519,Rhys O'Keeffe (Inactive)
180,Rhys Palmer (Inactive)
71,Richard Douglas (Inactive)
369,Ricky Henderson (Inactive)
101,Ricky Petterd (Inactive)
1415,Riley Collier-Dawkins (Inactive)
913,Riley Knight (Inactive)
329,Riley Milne (Inactive)
924,Roarke Smith (Inactive)
119,Robbie Gray (Inactive)
1490,Robbie McComb (Inactive)
395,Robbie Tarrant (Inactive)
1247,Robbie Young (Inactive)
217,Robert Eddy (Inactive)
402,Robert Hicks (Inactive)
106,Robert Warnock (Inactive)
265,Robin Nahas (Inactive)
325,Rohan Bail (Inactive)
428,Rohan Bewick (Inactive)
1425,Ronin O'Connor (Inactive)
523,Rory Thompson (Inactive)
103,Ross Young (Inactive)
1003,Rupert Wills (Inactive)
1195,Ryan Abbott (Inactive)
347,Ryan Bastinac (Inactive)
227,Ryan Brabazon (Inactive)
994,Ryan Clarke (Inactive)
151,Ryan Cook (Inactive)
204,Ryan Davis (Inactive)
74,Ryan Gamble (Inactive)
1177,Ryan Garthwaite (Inactive)
396,Ryan Harwood (Inactive)
73,Ryan Jackson (Inactive)
609,Ryan Neates (Inactive)
1087,Ryan Nyhuis (Inactive)
248,Ryan Schoenmakers (Inactive)
231,Ryan Williams (Inactive)
67,Ryan Willits (Inactive)
1168,Ryley Stoddart (Inactive)
520,Sam Blease (Inactive)
978,Sam Collins (Inactive)
718,Sam Colquhoun (Inactive)
614,Sam Darley (Inactive)
643,Sam Dunell (Inactive)
682,Sam Dwyer (Inactive)
628,Sam Gibson (Inactive)
36,Sam Gilbert (Inactive)
796,Sam Gray (Inactive)
725,Sam Grimley (Inactive)
1488,Sam Hayes (Inactive)
61,Sam Iles (Inactive)
245,Sam Jacobs (Inactive)
585,Sam Kerridge (Inactive)
794,Sam Lloyd (Inactive)
52,Sam Lonergan (Inactive)
694,Sam Mayes (Inactive)
999,Sam Menegola (Inactive)
724,Sam Michael (Inactive)
1122,Sam Murray (Inactive)
1021,Sam Petrevski-Seton (Inactive)
1306,Sam Philp (Inactive)
689,Sam Rowe (Inactive)
626,Sam Schulz (Inactive)
589,Sam Shaw (Inactive)
283,Sam Sheldon (Inactive)
1084,Sam Simpson (Inactive)
1103,Sam Skinner (Inactive)
290,Sam Wright (Inactive)
226,Scott Clouston (Inactive)
147,Scott Gumbleton (Inactive)
2,Scott Harding (Inactive)
1173,Scott Jones (Inactive)
526,Scott Lycett (Inactive)
109,Scott McMahon (Inactive)
182,Scott Selwood (Inactive)
452,Seb Tape (Inactive)
761,Shane Biggs (Inactive)
95,Shane Edwards (Inactive)
821,Shane Kersten (Inactive)
192,Shane Mumford (Inactive)
327,Shane Savage (Inactive)
205,Shane Valenti (Inactive)
998,Shane Yarran (Inactive)
91,Shannon Cox (Inactive)
19,Shannon Hurn (Inactive)
191,Sharrod Wellingham (Inactive)
438,Shaun Atley (Inactive)
590,Shaun Edwards (Inactive)
135,Shaun Grigg (Inactive)
160,Shaun Hampson (Inactive)
37,Shaun Higgins (Inactive)
310,Shaun McKernan (Inactive)
136,Simon Buckley (Inactive)
264,Simon Hogan (Inactive)
53,Simon Phillips (Inactive)
738,Simon Tunbridge (Inactive)
363,Simon White (Inactive)
843,Spencer White (Inactive)
1172,Stefan Giro (Inactive)
220,Stefan Martin (Inactive)
261,Stephen Hill (Inactive)
143,Stephen Tiller (Inactive)
653,Stephen Wrigley (Inactive)
644,Steve Clifton (Inactive)
193,Steven Browne (Inactive)
566,Steven Morris (Inactive)
354,Steven Motlop (Inactive)
408,Stewart Crameri (Inactive)
1231,Sydney Stack (Inactive)
696,Tanner Smith (Inactive)
1146,Taylin Duman (Inactive)
753,Taylor Garner (Inactive)
502,Taylor Hine (Inactive)
387,Taylor Hunt (Inactive)
186,Tayte Pears (Inactive)
1042,Teia Miles (Inactive)
491,Tendai Mzungu (Inactive)
580,Terry Milera (Inactive)
819,Tim Broomhead (Inactive)
1072,Tim English (Inactive)
657,Tim Golds (Inactive)
206,Tim Houlihan (Inactive)
636,Tim McIntyre (Inactive)
557,Tim Mohr (Inactive)
776,Tim O'Brien (Inactive)
314,Tim Ruffles (Inactive)
58,Tim Schmidt (Inactive)
1046,Tim Smith (Inactive)
729,Timmy Sumner (Inactive)
1328,Tobe Watson (Inactive)
899,Toby McLean (Inactive)
341,Todd Banfield (Inactive)
631,Todd Elton (Inactive)
646,Tom Bell (Inactive)
211,Tom Bellchambers (Inactive)
1298,Tom Berry (Inactive)
802,Tom Boyd (Inactive)
219,Tom Collier (Inactive)
638,Tom Couch (Inactive)
747,Tom Curren (Inactive)
797,Tom Cutler (Inactive)
635,Tom Derickx (Inactive)
754,Tom Downie (Inactive)
909,Tom Fields (Inactive)
312,Tom Gillies (Inactive)
535,Tom Hickey (Inactive)
1390,Tom Highmore (Inactive)
131,Tom Hislop (Inactive)
1348,Tom Hutchesson (Inactive)
1282,Tom Jok (Inactive)
533,Tom Jonas (Inactive)
860,Tom Lamb (Inactive)
766,Tom Langdon (Inactive)
503,Tom Ledger (Inactive)
691,Tom Lee (Inactive)
432,Tom Liberatore (Inactive)
326,Tom McNamara (Inactive)
484,Tom Nicholls (Inactive)
985,Tom Phillips (Inactive)
321,Tom Rockliff (Inactive)
958,Tom Ruggles (Inactive)
335,Tom Scully (Inactive)
666,Tom Sheridan (Inactive)
504,Tom Simpkin (Inactive)
1038,Tom Stewart (Inactive)
294,Tom Swift (Inactive)
98,Tom Williams (Inactive)
1051,Tom Williamson (Inactive)
1421,Tom Wilson (Inactive)
537,Tom Young (Inactive)
547,Tomas Bugg (Inactive)
611,Tommy Walsh (Inactive)
351,Tony Armstrong (Inactive)
237,Tony Notte (Inactive)
576,Tory Dickson (Inactive)
356,Travis Colyer (Inactive)
146,Travis Tuck (Inactive)
89,Travis Varcoe (Inactive)
1428,Trent Bianco (Inactive)
202,Trent Cotchin (Inactive)
393,Trent Dennis-Lane (Inactive)
879,Trent Dumont (Inactive)
166,Trent West (Inactive)
1340,Trey Ruscoe (Inactive)
752,Troy Davis (Inactive)
721,Troy Menzel (Inactive)
366,Troy Taylor (Inactive)
301,Ty Vickery (Inactive)
1286,Tyler Brown (Inactive)
113,Tyson Goldsack (Inactive)
392,Tyson Slattery (Inactive)
741,Viv Michie (Inactive)
271,Wade Thompson (Inactive)
12,Wayde Mills (Inactive)
525,Wayde Twomey (Inactive)
1567,Will Gould (Inactive)
728,Will Hams (Inactive)
1239,Will Hayes (Inactive)
471,Will Johnson (Inactive)
1314,Will Kelly (Inactive)
746,Will Langford (Inactive)
1404,Will Martyn (Inactive)
144,Will Schofield (Inactive)
712,Will Sierakowski (Inactive)
1018,Will Snelling (Inactive)
1192,Will Walker (Inactive)
352,Will Young (Inactive)
1082,Wylie Buzza (Inactive)
81,Xavier Ellis (Inactive)
1355,Xavier O'Neill (Inactive)
739,Xavier Richards (Inactive)
306,Zac Clarke (Inactive)
1347,Zac Foot (Inactive)
1124,Zac Langdon (Inactive)
813,Zac O'Brien (Inactive)
450,Zac Smith (Inactive)
707,Zac Williams (Inactive)
775,Zach Merrett (Inactive)
1281,Zach Sproule (Inactive)
477,Zephaniah Skinner (Inactive)
