Dylan Moore (Hawthorn)
Harry Morrison (Hawthorn)
Conor Nash (Hawthorn)
Jai Newcombe (Hawthorn)
Max Ramsden (Hawthorn)
Ned Reeves (Hawthorn)
Brandon Ryan (Hawthorn)
Jack Scrimshaw (Hawthorn)
Jai Serong (Hawthorn)
James Sicily (Hawthorn)
Josh Ward (Hawthorn)
Josh Weddle (Hawthorn)
Chad Wingard (Hawthorn)
James Worpel (Hawthorn)
Jake Bowey (Melbourne)
Angus Brayshaw (Melbourne)
Ben Brown (Melbourne)
Kade Chandler (Melbourne)
Bayley Fritsch (Melbourne)
Max Gawn (Melbourne)
Brodie Grundy (Melbourne)
James Harmes (Melbourne)
Michael Hibberd (Melbourne)
Lachie Hunter (Melbourne)
James Jordon (Melbourne)
Ed Langdon (Melbourne)
Bailey Laurie (Melbourne)
Jake Lever (Melbourne)
Steven May (Melbourne)
Tom McDonald (Melbourne)
Judd McVee (Melbourne)
Jake Melksham (Melbourne)
Alex Neal-Bullen (Melbourne)
Clayton Oliver (Melbourne)
Christian Petracca (Melbourne)
Harry Petty (Melbourne)
Kysaiah Pickett (Melbourne)
Trent Rivers (Melbourne)
Christian Salem (Melbourne)
Josh Schache (Melbourne)
Charlie Spargo (Melbourne)
Tom Sparrow (Melbourne)
Adam Tomlinson (Melbourne)
Daniel Turner (Melbourne)
Jacob van Rooyen (Melbourne)
Jack Viney (Melbourne)
Taj Woewodin (Melbourne)
Jackson Archer (North Melbourne)
Miller Bergman (North Melbourne)
Aiden Bonar (North Melbourne)
Callum Coleman-Jones (North Melbourne)
Charlie Comben (North Melbourne)
Aidan Corr (North Melbourne)
Ben Cunnington (North Melbourne)
Paul Curtis (North Melbourne)
Luke Davies-Uniacke (North Melbourne)
Kallan Dawson (North Melbourne)
Blake Drury (North Melbourne)
Eddie Ford (North Melbourne)
Josh Goater (North Melbourne)
Todd Goldstein (North Melbourne)
Hugh Greenwood (North Melbourne)
Aaron Hall (North Melbourne)
Robert Hansen (North Melbourne)
Cooper Harvey (North Melbourne)
Daniel Howe (North Melbourne)
Nick Larkey (North Melbourne)
Charlie Lazzaro (North Melbourne)
Griffin Logue (North Melbourne)
Jack Mahony (North Melbourne)
Luke McDonald (North Melbourne)
Ben McKay (North Melbourne)
Flynn Perez (North Melbourne)
Will Phillips (North Melbourne)
Tom Powell (North Melbourne)
Bailey Scott (North Melbourne)
Harry Sheezel (North Melbourne)
Liam Shiels (North Melbourne)
Jy Simpkin (North Melbourne)
Phoenix Spicer (North Melbourne)
Jaidyn Stephenson (North Melbourne)
Curtis Taylor (North Melbourne)
Tarryn Thomas (North Melbourne)
Darcy Tucker (North Melbourne)
Kayne Turner (North Melbourne)
George Wardlaw (North Melbourne)
Tristan Xerri (North Melbourne)
Lachie Young (North Melbourne)
Jack Ziebell (North Melbourne)
Cameron Zurhaar (North Melbourne)
Aliir Aliir (Port Adelaide)
Miles Bergman (Port Adelaide)
Travis Boak (Port Adelaide)
Riley Bonner (Port Adelaide)
Jase Burgoyne (Port Adelaide)
Ryan Burton (Port Adelaide)
